NO(Main),NO(Sub),요구사항명,상세 요구사항 정의,유형,구분,도출단계,상태,출처,제약사항,수용여부
2,5,검색 조건 정리,"검색과 추천 입력은 핵심 키워드, 포함 조건, 제외 조건, 임베딩 검색 문장으로 정리되어야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"query_analysis를 pgvector 검색과 추천 제외 조건 해석에 사용한다.",수용
2,6,후보 기록 검색,"검색 의도에서는 괴담 본문을 즉시 생성하지 않고 관련 후보 기록 목록과 검색 안내 응답을 반환해야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"/archive/api/search/는 results JSON과 llm_response를 반환한다.",수용
2,7,의미/키워드 검색 병합,"기록 검색은 pgvector 의미 검색과 PostgreSQL 키워드 검색 결과를 병합할 수 있어야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"현재 일반 후보 검색 대상은 HorrorStory와 DcinsidePost 중심이다.",수용
2,8,연관 키워드 확장,"Neo4j 연결이 가능하면 검색 키워드와 관련된 노드 이름을 보조 키워드로 활용해야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"Neo4j 연결 실패 시 확장 없이 기본 검색을 계속한다.",수용
2,9,최근 맥락 추천,"사용자는 최근 대화, 최근 선택 기록, 또는 새 포함 조건을 기준으로 비슷한 기록을 추천받을 수 있어야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"recommend_request는 archive_context와 최근 assistant 답변에서 추천 기준을 추출한다.",수용
2,10,추천 제외 조건,"사용자는 이전 키워드, 최근 기록, 최근 결과, 유형, 장르 등을 제외한 추천을 요청할 수 있어야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"exclude_terms, exclude_reference, exclude_scope 기반으로 결과를 필터링한다.",수용
2,11,검색 결과 선택,"사용자는 검색 결과 번호 또는 제목/제목 일부로 특정 기록을 선택할 수 있어야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"프론트의 currentSearchResults와 sessionStorage에 저장된 목록을 기준으로 선택한다.",수용
2,12,선택 기록 기반 재구성,"선택한 기록은 /archive/api/rewrite/에서 새로운 익명 커뮤니티 게시글형 괴담으로 재구성되어야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"자동 RAG가 아니라 사용자가 선택한 단일 source_story 기반으로 생성한다.",수용
2,13,생성 결과 품질 검수,"생성 결과는 게시글스러움, 문학체 제거, 모순성, 현실성 등을 포함한 평가 기준으로 검수되어야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"평가 JSON은 기존 boolean과 9개 criterion_scores를 포함한다.",수용
2,14,자동 재작성,"사전 검수 또는 평가에 실패한 괴담은 한 번 재작성할 수 있어야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"revise_node는 최대 1회 실행하며 자동 패널티가 통과 여부에 반영된다.",수용
2,15,TTS 낭독,"재구성된 최종 괴담 본문은 사용자가 읽어줘 단독 명령으로 낭독할 수 있어야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"rewrite 성공 시 last_tts_text에 저장하고 /archive/api/tts/에서 audio/mpeg를 스트리밍한다.",수용
2,16,TTS 중지,"사용자는 멈춰, 중지, 정지, 그만 등으로 현재 낭독과 배경음을 중지할 수 있어야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"프론트가 즉시 오디오를 정리하고 서버 tts_stop 흐름은 보조로 제공한다.",수용
2,17,챗봇 상태 관리,"시스템은 대화 이력, 최근 검색/선택 맥락, TTS 본문, TTS 오류를 사용자별로 분리 저장해야 한다.",데이터,archive-chatbot,MVP,정의,현재코드,"로그인 사용자와 익명 사용자는 서로 다른 session suffix를 사용한다.",수용
3,1,금기 자료실 화면,"사용자는 금기 자료실 화면에서 금기 기록을 조회할 수 있어야 한다.",기능,taboo,MVP,정의,현재코드,"/archive/archive/와 관련 별칭 URL이 archive.html을 렌더링한다.",수용
3,2,금기 목록 조회,"사용자는 저장된 금기 목록을 API로 불러올 수 있어야 한다.",기능,taboo,MVP,정의,현재코드,"/archive/api/taboos/가 제한 개수 목록과 전체 개수를 반환한다.",수용
3,3,금기 검색,"사용자는 금기 내용, 분류, 지역, 출처, 번호로 금기를 검색할 수 있어야 한다.",기능,taboo,MVP,정의,현재코드,"/archive/api/taboos/search/?q=...를 사용한다.",수용
3,4,오늘의 금기,"사용자는 오늘 날짜에 고정되는 금기 하나를 조회할 수 있어야 한다.",기능,taboo,MVP,정의,현재코드,"날짜 문자열 기반 offset으로 하루 동안 같은 항목을 반환한다.",수용
3,5,금기 상세 조회,"사용자는 특정 금기 ID의 상세 내용을 조회할 수 있어야 한다.",기능,taboo,MVP,정의,현재코드,"/archive/api/taboos/<id>/를 사용한다.",수용
4,1,신규 기록실 화면,"사용자는 /generator/storymaker/에서 AI 괴담 생성 화면에 접근할 수 있어야 한다.",기능,generator,MVP,정의,현재코드,"storymaker.html을 렌더링한다.",수용
4,2,괴담 생성 조건 입력,"사용자는 지역, 장소, 괴이 유형, 금기, 시간, 발생 조건, 결말을 입력할 수 있어야 한다.",기능,generator,MVP,정의,현재코드,"빈 입력은 프론트에서 기본 문구로 대체한다.",수용
4,3,LLM 괴담 생성,"시스템은 입력 조건을 JSON으로 받아 LLM에 괴담 생성을 요청하고 제목과 본문을 반환해야 한다.",기능,generator,MVP,정의,현재코드,"/generator/generate/ POST를 사용한다.",수용
4,4,생성 응답 정규화,"LLM 응답은 title과 content 형태로 정규화되어야 한다.",기능,generator,MVP,정의,현재코드,"마크다운 코드블록이나 주변 텍스트가 섞여도 JSON 추출을 시도한다.",수용
4,5,생성 실패 처리,"LLM 호출이나 JSON 파싱에 실패해도 사용자에게 오류용 제목과 본문을 반환해야 한다.",기능,generator,MVP,정의,현재코드,"서버 중단 없이 fallback JSON을 반환한다.",수용
4,6,생성 결과 표시,"시스템은 생성된 괴담 제목과 본문을 신규 기록실 화면에 표시해야 한다.",기능,generator,MVP,정의,현재코드,"AJAX 응답을 프론트에서 렌더링한다.",수용
4,7,생성 결과 게시,"사용자는 생성된 괴담을 열린 게시판의 창작담으로 게시할 수 있어야 한다.",기능,generator,MVP,정의,현재코드,"post_create_api에 category CREATION으로 게시한다.",수용
4,8,생성 괴담 저장 모델,"시스템은 사용자가 만든 AI 괴담 결과를 저장할 수 있는 모델을 가져야 한다.",데이터,generator,MVP,정의,현재코드,"GeneratedStory 모델은 있으나 현재 storymaker 기본 흐름은 Post 게시 중심이다.",부분수용
5,1,열린 게시판 화면,"사용자는 /post/community/에서 목격담과 창작담 게시판을 조회할 수 있어야 한다.",기능,post,MVP,정의,현재코드,"community.html에서 탭 UI를 제공한다.",수용
5,2,초기 게시글 적재,"게시글이 비어 있으면 수집 데이터 또는 기본 데이터를 초기 게시글로 적재할 수 있어야 한다.",데이터,post,MVP,정의,현재코드,"community view 진입 시 Post가 비어 있는 경우 실행한다.",수용
5,3,게시글 목록 조회,"사용자는 목격담 또는 창작담 목록을 API로 조회할 수 있어야 한다.",기능,post,MVP,정의,현재코드,"/post/api/list/?category=...&offset=...&limit=...를 사용한다.",수용
5,4,무한 스크롤,"목격담 목록은 offset/limit 기반으로 추가 로딩할 수 있어야 한다.",기능,post,MVP,정의,현재코드,"프론트에서 infinite scroll을 구현한다.",수용
5,5,게시글 검색,"사용자는 번호, 제목, 지역, 본문 기준으로 목격담 또는 창작담을 검색할 수 있어야 한다.",기능,post,MVP,정의,현재코드,"/post/api/search/를 사용한다.",수용
5,6,게시글 작성,"로그인한 사용자는 제목, 지역, 본문, 카테고리를 입력해 게시글을 작성할 수 있어야 한다.",기능,post,MVP,정의,현재코드,"비로그인 시 401과 로그인 redirect 정보를 반환한다.",수용
5,7,게시글 상세 조회,"사용자는 게시글 상세 내용을 API로 조회할 수 있어야 한다.",기능,post,MVP,정의,현재코드,"/post/api/detail/<id>/를 사용한다.",수용
5,8,목격담 조회수,"목격담 상세 조회 시 조회수가 증가해야 한다.",기능,post,MVP,정의,현재코드,"category가 WITNESS일 때만 increment_views를 실행한다.",수용
5,9,창작담 좋아요,"로그인한 사용자는 창작담에 좋아요를 누르거나 취소할 수 있어야 한다.",기능,post,MVP,정의,현재코드,"Like 모델로 사용자별 중복을 방지하고 Post.likes 카운터를 갱신한다.",수용
5,10,게시글 수정/삭제,"작성자는 자신의 게시글 제목, 지역, 본문을 수정하거나 삭제할 수 있어야 한다.",기능,post,MVP,정의,현재코드,"작성자 불일치 시 403을 반환한다.",수용
6,1,지역 정보실 화면,"사용자는 /regions/regioninfo/에서 지역 정보실 화면에 접근할 수 있어야 한다.",기능,regions,MVP,정의,현재코드,"지도 기반 UI와 기록 폴더 UI를 제공한다.",수용
6,2,지역 목록 조회,"사용자는 Neo4j의 Region 및 Origin 노드 기반 지역 목록과 연결 수를 조회할 수 있어야 한다.",기능,regions,MVP,정의,현재코드,"/regions/api/list/를 사용한다.",수용
6,3,지역별 도시/스토리 조회,"사용자는 특정 지역을 선택해 City 하위 스토리 목록 또는 지역 직속 스토리 목록을 조회할 수 있어야 한다.",기능,regions,MVP,정의,현재코드,"/regions/api/cities/?region=...를 사용한다.",수용
6,4,지역 관계 조회,"시스템은 특정 지역과 연결된 Story 또는 Legend 기록 목록을 조회할 수 있어야 한다.",기능,regions,MVP,정의,현재코드,"/regions/api/query/?region=...를 사용한다.",수용
6,5,스토리 본문 조회,"사용자는 지역 정보실에서 선택한 Story, Legend, SCP 기록의 전체 본문을 조회할 수 있어야 한다.",기능,regions,MVP,정의,현재코드,"/regions/api/story/?id=...를 사용한다.",수용
6,6,Neo4j 연결 처리,"Neo4j 호스트명이 Docker 환경과 로컬 환경에서 달라도 연결을 시도하고 실패 시 화면이 중단되지 않아야 한다.",비기능,regions,MVP,정의,현재코드,"서비스 함수에서 예외를 잡고 driver를 닫는다.",수용
7,1,PostgreSQL 모델 관리,"사용자, 원천 기록, 수집 글, 게시글, 좋아요, 북마크, 생성 괴담 모델은 PostgreSQL에 저장되어야 한다.",데이터,DB,MVP,정의,현재코드,"Django ORM과 migration을 사용한다.",수용
7,2,원천 데이터 중복 방지,"외부 원천 데이터는 source와 source_ref_id 조합으로 중복 적재를 방지해야 한다.",데이터,DB,MVP,정의,현재코드,"HorrorStory, MythEntity, Superstition, DcinsidePost에 UniqueConstraint가 있다.",수용
7,3,임베딩 데이터,"기록 열람실 의미 검색을 위해 record_embeddings 테이블과 pgvector extension을 사용할 수 있어야 한다.",데이터,DB,MVP,정의,현재코드,"database/PostgreSQL/pgvector 관련 스크립트를 제공한다.",수용
7,4,그래프 관계 데이터,"지역, 도시, 장소, 괴담, 전설, SCP, 기원 관계 데이터는 Neo4j에서 조회할 수 있어야 한다.",데이터,DB,MVP,정의,현재코드,"regions 기능과 기록 열람실 연관 키워드 확장에 사용한다.",수용
7,5,데이터 전처리/적재,"수집 JSON 데이터와 그래프/임베딩 데이터를 전처리하고 적재하는 스크립트를 제공해야 한다.",데이터,DB,MVP,정의,현재코드,"src/crawling, src/embedding, database/PostgreSQL 스크립트를 사용한다.",수용
7,6,환경 변수 관리,"DB 접속 정보, Neo4j, LLM, ElevenLabs, embedding 설정은 환경 변수로 관리되어야 한다.",비기능,환경,MVP,정의,현재코드,".env와 .env.example을 기준으로 한다.",수용
8,1,공통 내비게이션,"주요 화면은 기록 열람실, 금기 자료실, 신규 기록실, 열린 게시판, 지역 정보실, 나의 보관함으로 이동할 수 있어야 한다.",UI,web,MVP,정의,현재코드,"각 화면 상단 nav 링크를 제공한다.",수용
8,2,공포 콘셉트 UI,"화면은 어두운 공포 분위기와 기록소 콘셉트를 유지해야 한다.",UI,web,MVP,정의,현재코드,"검정/붉은색, 터미널풍, flicker 효과, 이미지/오디오를 사용한다.",수용
8,3,정적 파일 관리,"CSS, JavaScript, 이미지, 폰트, 오디오는 static 디렉터리에서 관리되어야 한다.",UI,web,MVP,정의,현재코드,"Django static 설정을 사용한다.",수용
8,4,AJAX 기반 상호작용,"각 화면은 필요한 API를 fetch로 호출해 화면을 갱신할 수 있어야 한다.",UI,web,MVP,정의,현재코드,"CSRF가 필요한 POST 요청에는 토큰을 포함한다.",수용
8,5,브라우저 상태 보존,"챗봇 화면은 브라우저 sessionStorage에 대화 로그와 마지막 검색 결과를 저장하고 복원할 수 있어야 한다.",UI,archive-chatbot,MVP,정의,현재코드,"서버 세션과 별도의 프론트 상태로 관리한다.",수용
8,6,URL 구조 규칙,"각 앱은 urls.py에서 화면 URL과 API URL을 명확히 분리해야 한다.",비기능,공통규칙,MVP,정의,현재코드,"config.urls에서 accounts/archive/generator/post/regions를 include한다.",수용
8,7,서비스 계층 분리,"복잡한 조회, 저장, LLM 호출, Neo4j 조회는 가능한 services 계층에서 처리해야 한다.",비기능,공통규칙,MVP,정의,현재코드,"archive는 기능별 service 모듈로 분리되어 있다.",수용
8,8,외부 API 실패 처리,"LLM, Neo4j, ElevenLabs, DB 호출 실패는 서버 중단 없이 사용자에게 오류 메시지 또는 빈 결과로 처리되어야 한다.",비기능,안정성,MVP,정의,현재코드,"RateLimit, DatabaseError, TTS 설정 오류 등을 분기 처리한다.",수용
9,1,자동 RAG 제외,"기록 열람실 챗봇은 검색 결과 전체를 자동으로 LLM 컨텍스트에 넣어 답변하는 RAG가 아니라, 후보 표시 후 사용자가 선택한 기록 기반으로 재구성해야 한다.",제약,AI,MVP,정의,현재코드,"semantic search와 선택 기록 기반 생성은 허용한다.",수용
9,2,Graph RAG 제외,"Neo4j는 지역 정보 조회와 기록 열람실 검색 키워드 확장에 사용하며 Graph RAG 생성 체인으로 사용하지 않는다.",제약,AI,MVP,정의,현재코드,"LLM 생성 컨텍스트에 그래프 경로를 자동 주입하지 않는다.",수용
9,3,댓글/신고 제외,"열린 게시판 댓글과 신고 기능은 MVP에서 제외한다.",제약,post,MVP,정의,현재코드,"현재 구현은 게시글 CRUD와 좋아요 중심이다.",수용
